number of documents: 10000   elapse time = 16
number of documents: 20000   elapse time = 25
number of documents: 30000   elapse time = 35
number of documents: 40000   elapse time = 49
number of documents: 50000   elapse time = 62
number of documents: 60000   elapse time = 75
number of documents: 70000   elapse time = 92
number of documents: 80000   elapse time = 105
number of documents: 90000   elapse time = 137
number of documents: 100000   elapse time = 146
number of documents: 110000   elapse time = 153
number of documents: 120000   elapse time = 162
number of documents: 130000   elapse time = 172
number of documents: 140000   elapse time = 181
number of documents: 150000   elapse time = 190
number of documents: 160000   elapse time = 197
number of documents: 170000   elapse time = 212
number of documents: 180000   elapse time = 231
number of documents: 190000   elapse time = 269
number of documents: 200000   elapse time = 274
number of documents: 210000   elapse time = 281
number of documents: 220000   elapse time = 291
number of documents: 230000   elapse time = 301
number of documents: 240000   elapse time = 311
number of documents: 250000   elapse time = 320
number of documents: 260000   elapse time = 327
number of documents: 270000   elapse time = 338
number of documents: 280000   elapse time = 354
number of documents: 290000   elapse time = 367
number of documents: 300000   elapse time = 412
number of documents: 310000   elapse time = 421
number of documents: 320000   elapse time = 435
number of documents: 330000   elapse time = 447
number of documents: 340000   elapse time = 460
number of documents: 350000   elapse time = 472
number of documents: 360000   elapse time = 483
number of documents: 370000   elapse time = 496
number of documents: 380000   elapse time = 509
number of documents: 390000   elapse time = 522
number of documents: 400000   elapse time = 565
number of documents: 410000   elapse time = 576
number of documents: 420000   elapse time = 588
number of documents: 430000   elapse time = 599
number of documents: 440000   elapse time = 610
number of documents: 450000   elapse time = 621
number of documents: 460000   elapse time = 631
number of documents: 470000   elapse time = 642
number of documents: 480000   elapse time = 652
number of documents: 490000   elapse time = 662
number of documents: 500000   elapse time = 672
number of documents: 510000   elapse time = 683
number of documents: 520000   elapse time = 694
number of documents: 530000   elapse time = 709
number of documents: 540000   elapse time = 720
number of documents: 550000   elapse time = 731
number of documents: 560000   elapse time = 742
number of documents: 570000   elapse time = 758
number of documents: 580000   elapse time = 770
number of documents: 590000   elapse time = 783
number of documents: 600000   elapse time = 796
number of documents: 610000   elapse time = 808
number of documents: 620000   elapse time = 821
number of documents: 630000   elapse time = 832
number of documents: 640000   elapse time = 846
number of documents: 650000   elapse time = 860
number of documents: 660000   elapse time = 874
number of documents: 670000   elapse time = 935
number of documents: 680000   elapse time = 947
